,tsne_dim_1,tsne_dim_2
0,123.491196,109.56413
1,-226.19815,128.17244
2,-152.57442,52.08932
3,-189.02832,-34.24238
4,100.40915,-28.973204
5,-15.022564,133.20895
6,375.06284,-73.75881
7,-187.28642,177.75322
8,-155.28989,-169.2392
9,-26.778704,-124.87685
10,263.97592,-131.86359
11,202.07544,-41.30687
12,121.19757,-0.05231643
13,29.507486,-82.00722
14,-264.31802,-104.38034
15,-76.5839,-44.933517
16,-22.205704,-103.98387
17,-158.73926,3.024418
18,-131.00229,82.53638
19,-228.9374,-39.744774
20,101.821396,64.48749
21,-9.895323,120.42595
22,-295.2059,112.49648
23,46.743668,188.7712
24,-12.018095,174.80095
25,185.3194,-121.37497
26,-153.7093,-192.14706
27,39.69819,-127.9305
28,9.305405,220.55078
29,77.93526,-13.4810095
30,-175.89659,44.07123
31,-103.18381,176.89911
32,74.10853,14.50939
33,-260.88315,-101.700516
34,208.43428,-112.82463
35,-111.22011,101.839806
36,223.84879,-8.085774
37,195.07755,-94.61333
38,-282.61942,-20.668564
39,58.078896,-65.246544
40,203.90054,109.50678
41,27.43178,-62.32543
42,-142.17928,-203.89578
43,82.64695,-175.94336
44,-190.98059,130.83307
45,-198.63167,81.275
46,-132.61905,76.024574
47,138.0869,104.24567
48,295.09787,-20.35929
49,103.304184,-30.96737
50,226.51039,-117.09541
51,-34.77295,-172.5147
52,-129.84697,16.138987
53,127.6231,-49.46887
54,-189.53111,-38.720417
55,-209.58589,122.348694
56,170.60002,-128.19914
57,-53.664013,72.61341
58,278.1309,-59.83031
59,112.94817,-72.80521
60,265.6817,62.362064
61,61.633514,-141.6759
62,64.492,-139.14359
63,-19.770002,248.24986
64,-30.435045,235.0815
65,-130.8328,-53.747242
66,-29.981777,-28.110308
67,82.653656,47.728027
68,-95.96949,-213.0251
69,-84.37579,-77.36768
70,2.124822,76.59552
71,-94.75701,-75.18803
72,8.218314,234.75542
73,51.605877,312.17325
74,-24.487602,54.275368
75,-181.67105,-87.93332
76,-129.93462,63.360783
77,142.50612,90.631325
78,338.11642,-137.34082
79,49.989548,149.3206
80,190.3939,-52.189888
81,43.119534,-151.1534
82,122.81844,-151.1756
83,-34.282608,60.25886
84,69.41315,-179.32501
85,-161.31094,59.76152
86,146.58047,-23.433666
87,189.96323,-137.02827
88,-258.63434,39.016953
89,-273.98315,106.98309
90,-232.94508,-97.646904
91,-181.23215,-69.71939
92,-194.42563,-1.8214782
93,-212.75853,128.56854
94,214.75067,50.22597
95,9.304757,-55.917713
96,-73.934555,94.11278
97,-57.0819,265.77875
98,128.37224,9.989043
99,64.38407,109.327835
100,248.29024,-37.24563
101,195.75963,55.45629
102,-10.040632,-88.84136
103,-140.56784,-200.64264
