,tsne_dim_1,tsne_dim_2
0,294.25076,-109.18485
1,333.0004,-78.31963
2,-99.549355,128.10088
3,249.86296,-127.80991
4,71.62292,200.66168
5,59.720722,204.31499
6,-229.15715,-63.39257
7,48.434208,-233.82321
8,-190.9914,35.941467
9,118.20508,-11.545409
10,305.73587,-126.86857
11,11.297378,122.04151
12,35.225067,222.87639
13,111.8877,-10.801943
14,280.0751,-21.583448
15,184.93013,-90.55867
16,-57.269657,123.88161
17,-144.75157,-146.74817
18,-18.528976,197.6099
19,-25.153543,-111.6658
20,101.60898,230.2102
21,285.2893,-119.767944
22,51.351414,-227.36995
23,-220.07962,79.53936
24,-88.17103,93.22673
25,235.53085,-60.286186
26,-104.11189,47.66746
27,-221.21017,112.087906
28,239.80238,-112.01044
29,30.240858,-15.5421915
30,81.09099,-33.345356
31,-174.27197,-187.32294
32,-134.92725,-181.39584
33,-55.29842,-156.51375
34,-0.18066889,-152.66368
35,86.36789,-193.61401
36,-58.07561,-125.25142
37,-145.49,-52.322
38,-119.840675,96.70013
39,-21.858465,206.62251
40,-29.498674,-18.799221
41,96.87666,-196.88641
42,23.541302,-214.76785
43,249.43639,35.883312
44,-232.24818,157.60492
45,-181.37186,134.82391
46,-3.0689263,-160.97647
47,292.5674,-149.87396
48,41.732056,-104.01212
49,-46.07957,-55.10853
50,184.63698,-139.90295
51,311.1983,-34.771435
52,131.15514,-133.99332
53,247.86957,-5.3546476
54,-203.5676,-239.44054
55,-240.82593,-261.54013
56,-234.72987,18.548365
57,-233.24854,25.947115
58,260.278,-139.95915
59,156.26074,190.81102
60,-132.61772,-212.53127
61,-2.8872612,41.865314
62,17.17355,-155.95758
63,244.2277,-116.5153
64,-149.21628,-46.37543
65,161.60838,-15.921189
66,-147.96579,204.92926
67,337.01743,-100.50307
68,217.371,62.196346
69,-9.443347,30.319643
70,-99.07391,121.79651
71,-23.371311,-118.3483
72,260.77106,-135.9415
73,266.2923,-148.85973
74,233.53116,-125.16761
75,81.0308,135.00105
76,-204.33342,-61.100906
77,211.29071,-51.29675
78,-281.65607,4.0697055
79,-181.63812,-1.0510713
80,177.95097,146.44109
81,-145.12119,-212.11037
82,239.40211,-149.12987
83,-157.63141,30.656656
84,93.41059,-214.46666
85,-23.10495,37.77022
86,101.76697,49.229137
87,-57.729805,40.96345
88,-208.63715,-250.08354
89,222.96869,-43.86056
90,113.21317,198.97975
91,-7.8883,-128.78374
92,-227.76915,161.14099
93,-92.82328,45.172367
94,244.92575,-73.21242
95,-4.578665,90.82723
96,-222.79688,184.74742
97,-95.89146,35.874584
98,266.49625,-147.38237
99,-40.233868,-66.28709
100,-53.336884,137.7797
101,-19.393368,109.71359
102,63.14926,23.28213
103,-23.717644,100.22441
104,197.45863,69.217415
105,-112.22088,79.07505
106,35.65973,-131.11934
107,156.66072,89.21708
108,-220.5501,-86.45839
109,20.65664,112.90918
110,61.94931,187.5747
111,175.18182,48.99334
112,181.67134,-127.89806
